Title,Price,Specifications
Asus VivoBook Gaming Core i5 8th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce G...,"Rs. 49,490",Intel Core i5 Processor (8th Gen)
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,512 GB SSD
,,39.62 cm (15.6 inch) Display
,,1 Year Onsite Warranty
,,
HP Pavilion Core i5 9th Gen - (8 GB/1 TB HDD/Windows 10 Home/3 GB Graphics/NVIDIA Geforce GTX 1050) 15...,"Rs. 49,990",Intel Core i5 Processor (9th Gen)
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD
,,39.62 cm (15.6 inch) Display
,,1 Year Onsite Warranty
,,
Asus Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1050) F570ZD-...,"Rs. 50,000",AMD Ryzen 5 Quad Core Processor
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD
,,39.62 cm (15.6 inch) Display
,,1 Year Onsite Warranty
,,
Asus VivoBook Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home) X505ZA-EJ509TX505Z Thin and Light La...,"Rs. 37,999",AMD Ryzen 5 Quad Core Processor
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD
,,39.62 cm (15.6 inch) Display
,,1 Year Onsite Warranty
,,
Dell Inspiron 5447 Notebook (4th Gen Ci5/ 4GB/ 1TB/ Win8.1/ 2GB Graph) (5447541TB2S),"Rs. 48,300",Intel Core i5 Processor (4th Gen)
,,4 GB DDR3 RAM
,,64 bit Windows 8.1 Operating System
,,1 TB HDD
,,35.2 cm (13.86 inch) Display
,,Please Register your Warranty:https://www.onlineregister.com/dell/?~ck=mn. 1 Year Accidental Damages Protection
,,
Lenovo Ideapad L340 Core i5 9th Gen - (8 GB/1 TB HDD/Windows 10 Home/3 GB Graphics/NVIDIA Geforce GTX ...,"Rs. 49,990",Intel Core i5 Processor (9th Gen)
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD
,,39.62 cm (15.6 inch) Display
,,1 Year Onsite Warranty
,,
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/AMD Radeon RX 560X) AN51...,"Rs. 49,990",60 Hz Refresh Rate- It can display upto 60 frames per second.
,,AMD Ryzen 5 Quad Core Processor
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD
,,39.62 cm (15.6 inch) Display
,,1 Year International Travelers Warranty (ITW)
,,
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650)...,"Rs. 52,990",AMD Ryzen 5 Quad Core Processor
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD
,,39.62 cm (15.6 inch) Display
,,1 Year International Travelers Warranty (ITW)
,,
Lenovo Ideapad 330 Core i5 8th Gen - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1...,"Rs. 53,990",Intel Core i5 Processor (8th Gen)
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD
,,39.62 cm (15.6 inch) Display
,,1 Year Onsite Warranty
,,
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/256 GB SSD/Windows 10 Home/4 GB Graphics/AMD Radeon RX...,"Rs. 54,990",60 Hz Refresh Rate- It can display upto 60 frames per second.
,,AMD Ryzen 5 Quad Core Processor
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD|256 GB SSD
,,39.62 cm (15.6 inch) Display
,,1 Year International Travelers Warranty (ITW)
,,
Asus VivoBook Gaming Core i5 9th Gen - (8 GB + 32 GB Optane/512 GB SSD/Windows 10 Home/4 GB Graphics/N...,"Rs. 54,990",60 Hz Refresh Rate- It can display upto 60 frames per second.
,,Intel Core i5 Processor (9th Gen)
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,512 GB SSD
,,39.62 cm (15.6 inch) Display
,,1 Year Limited International Hardware Warranty
,,
Acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA Geforce GTX 1650...,"Rs. 54,990",Intel Core i5 Processor (9th Gen)
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,512 GB SSD
,,39.62 cm (15.6 inch) Display
,,1 Year International Travelers Warranty (ITW)
,,
HP Pavilion 15-EC Ryzen 5 Quad Core - (8 GB/1 TB HDD/128 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA G...,"Rs. 54,990",60 Hz Refresh Rate- It can display upto 60 frames per second.
,,AMD Ryzen 5 Quad Core Processor
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD|128 GB SSD
,,39.62 cm (15.6 inch) Display
,,1 Year Onsite Warranty
,,
Acer Nitro 5 Ryzen 5 Quad Core - (8 GB/1 TB HDD/Windows 10 Home/4 GB Graphics/AMD Radeon RX 560X) AN51...,"Rs. 54,990",Optimized Dolby Audio Premium Sound Enhancement
,,"AMD Radeon RX 560X Graphics Card, Allows Smooth Game Play"
,,FineTip Backlit Keyboard with Independent Standard Numeric Keypad
,,AMD Ryzen 5 Quad Core Processor
,,8 GB DDR4 RAM
,,64 bit Windows 10 Operating System
,,1 TB HDD
,,39.62 cm (15.6 inch) Display
,,1 Year International Travelers Warranty (ITW)
,,
